id,rank,rikishi,w,l
878,Y1e,Asashoryu,5,5
4,Y1w,Musashimaru,2,4
7,O1e,Kaio,12,3
8,O1w,Chiyotaikai,11,4
6,O2e,Musoyama,10,5
19,O2w,Tochiazuma,7,8
39,S1e,Wakanosato,10,5
41,S1w,Kyokutenho,6,9
31,K1e,Dejima,0,0
10,K1w,Tochinonada,7,8
842,M1e,Miyabiyama,10,5
89,M1w,Aminishiki,2,12
35,M2e,Kyokushuzan,4,11
14,M2w,Kotonowaka,1,2
5,M3e,Takanonami,6,9
875,M3w,Takamisakari,9,6
152,M4e,Tamanoshima,5,10
38,M4w,Toki,10,5
13,M5e,Tosanoumi,10,5
29,M5w,Kotoryu,8,7
96,M6e,Jumonji,6,9
105,M6w,Buyuzan,7,8
50,M7e,Tokitsuumi,9,6
135,M7w,Hokutoriki,10,5
40,M8e,Kaiho,6,9
88,M8w,Tamarikido,6,9
22,M9e,Gojoro,4,4
1009,M9w,Asasekiryu,10,5
1087,M10e,Iwakiyama,8,7
63,M10w,Otsukasa,5,10
34,M11e,Asanowaka,6,9
72,M11w,Tochisakae,8,7
107,M12e,Kasuganishiki,9,6
865,M12w,Kasugao,4,11
876,M13e,Kotomitsuki,9,6
87,M13w,Wakanoyama,7,8
175,M14e,Ushiomaru,7,8
11,M14w,Aogiyama,4,11
17,M15e,Tamakasuga,7,8
43,M15w,Kinkaiyama,9,6
64,J1e,Yotsukasa,8,7
97,J1w,Tochinohana,4,11
1204,J2e,Kakizoe,11,4
1018,J2w,Shimotori,10,5
71,J3e,Takanowaka,0,0
129,J3w,Hayateumi,4,11
287,J4e,Wakatoba,10,5
145,J4w,Kobo,7,8
163,J5e,Senshuyama,5,10
78,J5w,Toyozakura,9,6
1187,J6e,Kokkai,9,6
2834,J6w,Futeno,9,6
874,J7e,Hamanishiki,2,3
15,J7w,Oginishiki,10,5
1284,J8e,Takekaze,9,6
92,J8w,Harunoyama,7,8
167,J9e,Tamanokuni,3,12
81,J9w,Wakakosho,6,9
58,J10e,Oikari,0,0
225,J10w,Takanotsuru,5,10
70,J11e,Kitazakura,8,7
47,J11w,Chiyotenzan,9,6
116,J12e,Nakao,6,9
56,J12w,Masutsuyoshi,10,5
79,J13e,Kotoiwakuni,5,10
101,J13w,Dewanofuji,0,0
130,Ms1e,Kaito,5,2
149,Ms1w,Juzan,4,3
113,Ms2e,Asofuji,4,3
102,Ms2w,Asahibenten,3,4
74,Ms3e,Kotokanyu,3,5
138,Ms3w,Sentoryu,5,2
99,Ms4e,Komahikari,2,5
103,Ms4w,Tochifudo,5,2
216,Ms5e,Raiko,4,3
68,Ms5w,Gokenzan,3,4
205,Ms6e,Fujinohana,1,6
2818,Ms6w,Tokitenku,4,3
132,Ms7e,Kotonomine,3,4
69,Ms7w,Towanoyama,4,3
222,Ms8e,Sumanofuji,5,2
147,Ms8w,Toyonokuni,5,2
95,Ms9e,Hidenokuni,2,5
864,Ms9w,Bushuyama,6,1
296,Ms10e,Yoshiazuma,3,4
315,Ms10w,Nadatsukasa,3,4
1111,Ms11e,Ama,5,2
106,Ms11w,Torafusuyama,3,4
204,Ms12e,Ryuho,3,4
898,Ms12w,Chiyohakuho,0,7
226,Ms13e,Wakatenro,4,3
122,Ms13w,Daimanazuru,4,3
134,Ms14e,Fukuzono,4,3
999,Ms14w,Takanofuji,2,5
84,Ms15e,Tomikaze,0,1
173,Ms15w,Ryukai,0,0
1421,Ms16e,Roho,4,3
371,Ms16w,Kyokunankai,2,5
180,Ms17e,Wakainami,3,4
785,Ms17w,Furuichi,3,4
784,Ms18e,Daishodai,6,1
795,Ms18w,Tamaasuka,3,4
1226,Ms19e,Kotokikutsugi,5,2
25,Ms19w,Hamanoshima,4,3
511,Ms20e,Yotsuguruma,3,4
983,Ms20w,Kirinofuji,5,2
206,Ms21e,Kotokasuga,4,3
90,Ms21w,Fukkoyama,2,5
150,Ms22e,Tokiyutaka,3,4
239,Ms22w,Maikaze,4,3
82,Ms23e,Tochitenko,4,3
162,Ms23w,Tamaryoma,2,5
280,Ms24e,Shimatora,1,6
365,Ms24w,Kotokuni,5,2
1235,Ms25e,Hagiwara,3,4
197,Ms25w,Maenowaka,3,4
1214,Ms26e,Tokitsukasa,4,3
576,Ms26w,Kaishoryu,1,6
172,Ms27e,Kirinoumi,5,2
1032,Ms27w,Hochiyama,6,1
430,Ms28e,Tamao,2,5
179,Ms28w,Tenichi,3,4
924,Ms29e,Suzukawa,3,4
94,Ms29w,Kimenryu,4,3
1123,Ms30e,Hakuho,4,3
185,Ms30w,Yoshio,2,5
158,Ms31e,Natsubori,6,1
124,Ms31w,Sumiya,4,3
1402,Ms32e,Hakurozan,3,4
168,Ms32w,Hokutoiwa,5,2
247,Ms33e,Oga,4,3
1011,Ms33w,Hakuba,3,4
1227,Ms34e,Toyonoshima,5,2
76,Ms34w,Hoshitango,4,3
469,Ms35e,Tenpozan,3,4
232,Ms35w,Nanbara,2,5
251,Ms36e,Wakatoryu,1,4
161,Ms36w,Kotohikari,2,5
237,Ms37e,Fujinokaze,5,2
250,Ms37w,Shindo,4,3
1109,Ms38e,Daishoma,5,2
252,Ms38w,Rikiryuyama,3,4
1053,Ms39e,Kasugakuni,3,4
126,Ms39w,Tochinoyama,3,4
148,Ms40e,Ashu,4,3
456,Ms40w,Omusashi,1,6
240,Ms41e,Shigezakura,6,1
214,Ms41w,Toshinyama,4,3
128,Ms42e,Nishikikaze,4,3
119,Ms42w,Takamihana,2,5
779,Ms43e,Chiyonohana,3,4
302,Ms43w,Tochio,4,3
80,Ms44e,Otoryu,0,0
1031,Ms44w,Ryuo,5,2
334,Ms45e,Hokutojo,7,0
264,Ms45w,Shishio,5,2
504,Ms46e,Kainowaka,2,5
223,Ms46w,Musashifuji,2,5
353,Ms47e,Fujitsukasa,3,4
481,Ms47w,Enatsukasa,1,6
256,Ms48e,Kotohino,4,3
294,Ms48w,Tachigami,2,5
243,Ms49e,Akinohana,3,4
230,Ms49w,Kiyoazuma,3,4
300,Ms50e,Dairaido,5,2
246,Ms50w,Kyokutenzan,5,2
199,Ms51e,Kuniazuma,0,0
1134,Ms51w,Miyamoto,2,3
254,Ms52e,Konoryu,3,4
866,Ms52w,Surugatsukasa,4,3
136,Ms53e,Dewanosato,0,0
120,Ms53w,Aranonami,4,3
268,Ms54e,Takahijiri,4,3
